#abgabe.csv
#Veronika
#Zapodobnikova
#01328458
group,number,duration,numberOfKeys,keyGroup,averageDurationLookupTrie,averageDurationLookupTree,averageDurationLookupList
Insert and Lookup,481,35489288,4390,shuffled,72,141,4191
Insert and Lookup,482,35110551,4400,shuffled,69,166,4117
Insert and Lookup,483,35223562,4410,shuffled,63,157,4139
Insert and Lookup,484,34134805,4420,shuffled,67,122,3925
Insert and Lookup,485,32685171,4430,shuffled,62,94,3840
Insert and Lookup,486,32409082,4440,shuffled,57,151,3847
Insert and Lookup,487,36238940,4450,shuffled,73,182,4164
Insert and Lookup,488,35461187,4460,shuffled,73,105,4124
Insert and Lookup,489,37108080,4470,shuffled,82,174,4278
Insert and Lookup,490,32228145,4480,shuffled,56,109,3713
Insert and Lookup,491,32397549,4490,shuffled,61,81,3674
Insert and Lookup,492,31228710,4500,shuffled,56,129,3439
Insert and Lookup,493,38789964,4510,shuffled,78,197,4530
Insert and Lookup,494,37522973,4520,shuffled,80,167,4395
Insert and Lookup,495,36873029,4530,shuffled,73,148,4281
Insert and Lookup,496,35144733,4540,shuffled,63,157,4036
Insert and Lookup,497,32856520,4550,shuffled,56,117,3710
Insert and Lookup,498,33789208,4560,shuffled,72,102,3953
Insert and Lookup,499,35427050,4570,shuffled,68,129,4138
Insert and Lookup,500,38443115,4580,shuffled,67,147,4432
Insert and Lookup,501,37658060,4590,shuffled,68,172,4285
Insert and Lookup,502,35342833,4600,shuffled,60,112,4064
Insert and Lookup,503,31675439,4610,shuffled,54,101,3569
Insert and Lookup,504,35051757,4620,shuffled,63,120,4122
Insert and Lookup,505,38577973,4630,shuffled,81,111,4291
Insert and Lookup,506,39630511,4640,shuffled,74,165,4504
Insert and Lookup,507,38523314,4650,shuffled,69,147,4366
Insert and Lookup,508,40495863,4660,shuffled,68,124,4964
Insert and Lookup,509,38128207,4670,shuffled,55,99,4604
Insert and Lookup,510,40400422,4680,shuffled,76,155,4761
Insert and Lookup,511,39655167,4690,shuffled,80,144,4447
Insert and Lookup,512,40079635,4700,shuffled,70,142,4518
Insert and Lookup,513,38016817,4710,shuffled,63,177,4201
Insert and Lookup,514,39002936,4720,shuffled,62,157,4354
Insert and Lookup,515,35453166,4730,shuffled,60,95,3964
Insert and Lookup,516,39015693,4740,shuffled,67,108,4511
Insert and Lookup,517,42349306,4750,shuffled,75,156,4824
Insert and Lookup,518,41426209,4760,shuffled,100,129,4641
Insert and Lookup,519,39108021,4770,shuffled,69,122,4296
Insert and Lookup,520,38956727,4780,shuffled,59,114,4557
Insert and Lookup,521,34347350,4790,shuffled,52,102,3745
Insert and Lookup,522,40505317,4800,shuffled,69,145,4573
Insert and Lookup,523,42676635,4810,shuffled,74,148,4674
Insert and Lookup,524,42383018,4820,shuffled,86,152,4699
Insert and Lookup,525,38905520,4830,shuffled,60,99,4305
Insert and Lookup,526,38179142,4840,shuffled,61,94,4259
Insert and Lookup,527,34247306,4850,shuffled,53,88,3771
Insert and Lookup,528,39683879,4860,shuffled,55,137,4455
Insert and Lookup,529,43556465,4870,shuffled,70,150,4800
Insert and Lookup,530,44069809,4880,shuffled,71,168,5113
Insert and Lookup,531,42481612,4890,shuffled,65,113,4914
Insert and Lookup,532,39622112,4900,shuffled,64,114,4290
Insert and Lookup,533,37229737,4910,shuffled,59,94,4193
Insert and Lookup,534,40331881,4920,shuffled,70,164,4258
Insert and Lookup,535,42807399,4930,shuffled,76,125,4697
Insert and Lookup,536,42811587,4940,shuffled,69,140,4660
Insert and Lookup,537,40137759,4950,shuffled,61,126,4418
Insert and Lookup,538,40835866,4960,shuffled,70,127,4542
Insert and Lookup,539,43719409,4970,shuffled,71,117,4716
Insert and Lookup,540,44988117,4980,shuffled,72,164,4934
Insert and Lookup,541,43451997,4990,shuffled,69,129,4699
Insert and Lookup,542,40952744,5000,shuffled,61,113,4474
Insert and Lookup,543,40515356,5010,shuffled,65,116,4420
Insert and Lookup,544,44090447,5020,shuffled,79,158,4747
Insert and Lookup,545,45825052,5030,shuffled,84,108,4932
Insert and Lookup,546,43532505,5040,shuffled,64,147,4718
Insert and Lookup,547,41617370,5050,shuffled,57,122,4472
Insert and Lookup,548,40769305,5060,shuffled,63,93,4459
Insert and Lookup,549,45023609,5070,shuffled,76,136,4871
Insert and Lookup,550,45552933,5080,shuffled,67,146,4911
Insert and Lookup,551,44407976,5090,shuffled,61,149,4709
Insert and Lookup,552,39276831,5100,shuffled,56,103,4156
Insert and Lookup,553,45139296,5110,shuffled,64,126,5051
Insert and Lookup,554,45529709,5120,shuffled,66,99,4997
Insert and Lookup,555,50162463,5130,shuffled,71,146,5612
Insert and Lookup,556,48100532,5140,shuffled,65,174,5131
Insert and Lookup,557,47167141,5150,shuffled,76,97,4949
Insert and Lookup,558,47083096,5160,shuffled,70,148,5053
Insert and Lookup,559,46815995,5170,shuffled,61,149,5041
Insert and Lookup,560,47373600,5180,shuffled,74,199,4980
Insert and Lookup,561,45586797,5190,shuffled,72,158,4869
Insert and Lookup,562,40512847,5200,shuffled,61,86,4316
Insert and Lookup,563,46916610,5210,shuffled,66,105,5009
Insert and Lookup,564,47548384,5220,shuffled,66,137,4980
Insert and Lookup,565,48069261,5230,shuffled,69,195,5003
Insert and Lookup,566,46215365,5240,shuffled,70,117,4892
Insert and Lookup,567,43115132,5250,shuffled,61,88,4538
Insert and Lookup,568,48348040,5260,shuffled,77,126,5095
Insert and Lookup,569,50825604,5270,shuffled,83,157,5286
Insert and Lookup,570,47987840,5280,shuffled,66,125,5009
Insert and Lookup,571,46356983,5290,shuffled,61,144,4876
Insert and Lookup,572,46064361,5300,shuffled,64,109,4791
Insert and Lookup,573,46544643,5310,shuffled,62,103,4938
Insert and Lookup,574,50551475,5320,shuffled,74,191,5209
Insert and Lookup,575,48371917,5330,shuffled,63,178,5034
Insert and Lookup,576,43911631,5340,shuffled,58,133,4513
Insert and Lookup,577,44367779,5350,shuffled,55,102,4680
Insert and Lookup,578,46392305,5360,shuffled,60,116,4873
Insert and Lookup,579,51113970,5370,shuffled,73,156,5354
Insert and Lookup,580,51111243,5380,shuffled,80,204,5196
Insert and Lookup,581,48735426,5390,shuffled,73,114,4978
Insert and Lookup,582,44267861,5400,shuffled,57,105,4553
Insert and Lookup,583,51427915,5410,shuffled,68,134,5370
Insert and Lookup,584,52809395,5420,shuffled,76,149,5452
Insert and Lookup,585,50226281,5430,shuffled,72,150,5141
Insert and Lookup,586,47960675,5440,shuffled,60,137,4917
Insert and Lookup,587,43330527,5450,shuffled,59,83,4386
Insert and Lookup,588,50161152,5460,shuffled,60,105,5302
Insert and Lookup,589,51633676,5470,shuffled,78,149,5298
Insert and Lookup,590,51099523,5480,shuffled,62,130,5166
Insert and Lookup,591,45703847,5490,shuffled,54,86,4627
Insert and Lookup,592,43552983,5500,shuffled,52,110,4345
Insert and Lookup,593,54402238,5510,shuffled,84,143,5505
Insert and Lookup,594,53660273,5520,shuffled,71,178,5465
Insert and Lookup,595,51713760,5530,shuffled,70,154,5227
Insert and Lookup,596,45465171,5540,shuffled,54,86,4561
Insert and Lookup,597,44042007,5550,shuffled,52,81,4405
Insert and Lookup,598,54933982,5560,shuffled,72,213,5656
Insert and Lookup,599,54481128,5570,shuffled,78,139,5541
Insert and Lookup,600,52549441,5580,shuffled,63,123,5262
Insert and Lookup,601,48092268,5590,shuffled,57,121,4817
Insert and Lookup,602,49407190,5600,shuffled,53,95,5246
Insert and Lookup,603,59173060,5610,shuffled,85,151,5987
Insert and Lookup,604,53846493,5620,shuffled,71,140,5449
Insert and Lookup,605,52594405,5630,shuffled,72,119,5167
Insert and Lookup,606,49824701,5640,shuffled,72,97,5069
Insert and Lookup,607,54330743,5650,shuffled,79,151,5620
Insert and Lookup,608,55262281,5660,shuffled,69,136,5539
Insert and Lookup,609,53902286,5670,shuffled,64,135,5360
Insert and Lookup,610,51842413,5680,shuffled,67,106,5243
Insert and Lookup,611,55118074,5690,shuffled,64,122,5522
Insert and Lookup,612,54102083,5700,shuffled,63,113,5431
Insert and Lookup,613,51722977,5710,shuffled,66,147,5201
Insert and Lookup,614,56443181,5720,shuffled,85,147,5671
Insert and Lookup,615,55998558,5730,shuffled,61,114,5551
Insert and Lookup,616,55534722,5740,shuffled,83,98,5513
Insert and Lookup,617,52700393,5750,shuffled,56,121,5212
Insert and Lookup,618,54000556,5760,shuffled,61,109,5470
Insert and Lookup,619,55036839,5770,shuffled,73,94,5498
Insert and Lookup,620,56793878,5780,shuffled,68,143,5674
Insert and Lookup,621,56402003,5790,shuffled,75,138,5574
Insert and Lookup,622,59761710,5800,shuffled,69,140,6153
Insert and Lookup,623,58262025,5810,shuffled,68,120,5835
Insert and Lookup,624,58869067,5820,shuffled,72,127,5844
Insert and Lookup,625,57164965,5830,shuffled,71,125,5614
Insert and Lookup,626,58259851,5840,shuffled,66,106,5824
Insert and Lookup,627,59919694,5850,shuffled,92,132,5871
Insert and Lookup,628,57773078,5860,shuffled,67,151,5655
Insert and Lookup,629,54876541,5870,shuffled,62,112,5389
Insert and Lookup,630,54415312,5880,shuffled,64,110,5413
Insert and Lookup,631,59000423,5890,shuffled,75,139,5781
Insert and Lookup,632,56245811,5900,shuffled,62,122,5458
Insert and Lookup,633,52155244,5910,shuffled,55,87,5037
Insert and Lookup,634,54840926,5920,shuffled,70,107,5389
Insert and Lookup,635,58328343,5930,shuffled,75,126,5712
Insert and Lookup,636,59791498,5940,shuffled,80,112,5826
Insert and Lookup,637,55241242,5950,shuffled,58,111,5178
Insert and Lookup,638,58599891,5960,shuffled,63,163,5828
Insert and Lookup,639,59501580,5970,shuffled,62,123,5829
Insert and Lookup,640,59442934,5980,shuffled,75,121,5749
Insert and Lookup,641,55386499,5990,shuffled,54,130,5250
Insert and Lookup,642,58754189,6000,shuffled,65,135,5722
Insert and Lookup,643,62439355,6010,shuffled,67,188,6019
Insert and Lookup,644,61711501,6020,shuffled,76,178,5965
Insert and Lookup,645,59781259,6030,shuffled,65,99,5813
Insert and Lookup,646,58861319,6040,shuffled,63,171,5703
Insert and Lookup,647,62359918,6050,shuffled,70,154,5984
Insert and Lookup,648,62863091,6060,shuffled,75,149,5833
Insert and Lookup,649,58478289,6070,shuffled,61,99,5638
Insert and Lookup,650,59639511,6080,shuffled,61,111,5759
Insert and Lookup,651,64009214,6090,shuffled,68,160,6126
Insert and Lookup,652,61528061,6100,shuffled,65,155,5676
Insert and Lookup,653,59900360,6110,shuffled,65,102,5783
Insert and Lookup,654,62091883,6120,shuffled,74,155,5963
Insert and Lookup,655,63921860,6130,shuffled,68,158,6109
Insert and Lookup,656,56949406,6140,shuffled,54,123,5275
Insert and Lookup,657,61033713,6150,shuffled,65,125,5840
Insert and Lookup,658,62890948,6160,shuffled,73,122,5988
Insert and Lookup,659,64848432,6170,shuffled,62,167,6181
Insert and Lookup,660,63969804,6180,shuffled,68,132,6009
Insert and Lookup,661,58084440,6190,shuffled,54,128,5447
Insert and Lookup,662,64628228,6200,shuffled,79,158,6180
Insert and Lookup,663,64077783,6210,shuffled,64,146,6105
Insert and Lookup,664,64148437,6220,shuffled,66,108,6030
Insert and Lookup,665,61631384,6230,shuffled,60,114,5763
Insert and Lookup,666,65098336,6240,shuffled,89,130,6202
Insert and Lookup,667,67399119,6250,shuffled,71,209,6304
Insert and Lookup,668,61984446,6260,shuffled,54,110,5741
Insert and Lookup,669,60399466,6270,shuffled,66,111,5550
Insert and Lookup,670,67181628,6280,shuffled,79,152,6312
Insert and Lookup,671,69062221,6290,shuffled,90,200,6396
Insert and Lookup,672,64378959,6300,shuffled,64,165,6015
Insert and Lookup,673,61749213,6310,shuffled,58,108,5806
Insert and Lookup,674,70625825,6320,shuffled,67,190,6650
Insert and Lookup,675,66888104,6330,shuffled,74,133,6239
Insert and Lookup,676,64742618,6340,shuffled,56,118,5961
Insert and Lookup,677,63308850,6350,shuffled,60,115,5957
Insert and Lookup,678,69998165,6360,shuffled,79,200,6580
Insert and Lookup,679,67730295,6370,shuffled,72,140,6195
Insert and Lookup,680,65992987,6380,shuffled,69,119,6186
Insert and Lookup,681,63278541,6390,shuffled,58,119,5821
Insert and Lookup,682,69919766,6400,shuffled,70,191,6514
Insert and Lookup,683,68200136,6410,shuffled,66,111,6326
Insert and Lookup,684,65429787,6420,shuffled,61,136,6040
Insert and Lookup,685,66072284,6430,shuffled,60,103,6201
Insert and Lookup,686,89756015,6440,shuffled,72,214,8544
Insert and Lookup,687,68786980,6450,shuffled,65,127,6352
Insert and Lookup,688,66167247,6460,shuffled,61,102,6110
Insert and Lookup,689,66342822,6470,shuffled,62,103,6008
Insert and Lookup,690,72710608,6480,shuffled,82,182,6611
Insert and Lookup,691,70810760,6490,shuffled,69,114,6457
Insert and Lookup,692,65129260,6500,shuffled,60,124,5929
Insert and Lookup,693,64670278,6510,shuffled,53,115,5839
Insert and Lookup,694,73297979,6520,shuffled,79,170,6733
Insert and Lookup,695,71590578,6530,shuffled,69,124,6624
Insert and Lookup,696,71380651,6540,shuffled,67,142,6518
Insert and Lookup,697,66036557,6550,shuffled,53,103,5994
Insert and Lookup,698,71599572,6560,shuffled,64,162,6280
Insert and Lookup,699,68694431,6570,shuffled,62,115,6265
Insert and Lookup,700,70164642,6580,shuffled,59,108,6381
Insert and Lookup,701,72123830,6590,shuffled,75,131,6568
Insert and Lookup,702,67990833,6600,shuffled,76,108,6176
Insert and Lookup,703,67339453,6610,shuffled,58,106,6090
Insert and Lookup,704,71460832,6620,shuffled,62,140,6296
Insert and Lookup,705,68581537,6630,shuffled,67,135,6269
Insert and Lookup,706,72026797,6640,shuffled,71,138,6602
Insert and Lookup,707,73015875,6650,shuffled,82,133,6541
Insert and Lookup,708,75530473,6660,shuffled,85,119,6717
Insert and Lookup,709,72481222,6670,shuffled,74,113,6580
Insert and Lookup,710,69682297,6680,shuffled,56,107,6223
Insert and Lookup,711,71953275,6690,shuffled,70,122,6444
Insert and Lookup,712,74729239,6700,shuffled,76,100,6741
Insert and Lookup,713,72073963,6710,shuffled,65,126,6544
Insert and Lookup,714,74667791,6720,shuffled,67,187,6657
Insert and Lookup,715,69543152,6730,shuffled,59,104,6285
Insert and Lookup,716,71080860,6740,shuffled,61,107,6318
Insert and Lookup,717,74417936,6750,shuffled,72,129,6563
Insert and Lookup,718,75354372,6760,shuffled,67,117,6779
Insert and Lookup,719,70508183,6770,shuffled,58,88,6302
Insert and Lookup,720,71326390,6780,shuffled,66,101,6394
Insert and Lookup,721,80286748,6790,shuffled,76,141,7287
Insert and Lookup,722,71251417,6800,shuffled,59,102,6248
Insert and Lookup,723,70035601,6810,shuffled,58,131,6158
Insert and Lookup,724,73019358,6820,shuffled,72,122,6512
Insert and Lookup,725,76460007,6830,shuffled,74,135,6638
Insert and Lookup,726,73987340,6840,shuffled,63,103,6527
Insert and Lookup,727,75445235,6850,shuffled,69,151,6658
Insert and Lookup,728,77414398,6860,shuffled,63,152,6802
Insert and Lookup,729,74365861,6870,shuffled,60,153,6637
Insert and Lookup,730,72901198,6880,shuffled,71,118,6392
Insert and Lookup,731,76176732,6890,shuffled,70,97,6769
Insert and Lookup,732,76931641,6900,shuffled,59,145,6721
Insert and Lookup,733,75478440,6910,shuffled,78,96,6686
Insert and Lookup,734,77860092,6920,shuffled,68,120,6799
Insert and Lookup,735,77585615,6930,shuffled,62,177,6779
Insert and Lookup,736,81295261,6940,shuffled,77,154,7292
Insert and Lookup,737,75855401,6950,shuffled,58,97,6629
Insert and Lookup,738,75591480,6960,shuffled,65,95,6690
Insert and Lookup,739,76008967,6970,shuffled,75,95,6633
Insert and Lookup,740,74113970,6980,shuffled,64,110,6345
Insert and Lookup,741,74232266,6990,shuffled,56,109,6435
Insert and Lookup,742,81586442,7000,shuffled,66,188,7029
Insert and Lookup,743,76219038,7010,shuffled,57,93,6646
Insert and Lookup,744,77786268,7020,shuffled,58,163,6600
Insert and Lookup,745,85404778,7030,shuffled,79,153,7503
Insert and Lookup,746,80356281,7040,shuffled,68,111,6981
Insert and Lookup,747,77964319,7050,shuffled,63,95,6731
Insert and Lookup,748,79739259,7060,shuffled,72,107,6988
Insert and Lookup,749,78386661,7070,shuffled,63,135,6645
Insert and Lookup,750,73913034,7080,shuffled,63,129,6377
Insert and Lookup,751,80035550,7090,shuffled,86,127,7001
Insert and Lookup,752,76191317,7100,shuffled,60,105,6500
Insert and Lookup,753,81852701,7110,shuffled,73,178,7134
Insert and Lookup,754,84191857,7120,shuffled,87,135,7235
Insert and Lookup,755,80273290,7130,shuffled,64,107,6824
Insert and Lookup,756,78850386,7140,shuffled,65,117,6714
Insert and Lookup,757,86506077,7150,shuffled,87,174,7471
Insert and Lookup,758,79950313,7160,shuffled,67,97,6768
Insert and Lookup,759,80163506,7170,shuffled,57,156,6791
Insert and Lookup,760,83253118,7180,shuffled,74,120,7250
Insert and Lookup,761,86233822,7190,shuffled,81,146,7394
Insert and Lookup,762,79533991,7200,shuffled,59,142,6756
Insert and Lookup,763,81443222,7210,shuffled,80,122,6807
Insert and Lookup,764,85596295,7220,shuffled,75,108,7324
Insert and Lookup,765,86319566,7230,shuffled,55,106,7730
Insert and Lookup,766,83890189,7240,shuffled,72,179,7027
Insert and Lookup,767,88093641,7250,shuffled,88,129,7410
Insert and Lookup,768,78622490,7260,shuffled,53,99,6698
Insert and Lookup,769,86802771,7270,shuffled,80,165,7403
Insert and Lookup,770,83119412,7280,shuffled,65,116,6874
Insert and Lookup,771,80054725,7290,shuffled,60,133,6547
Insert and Lookup,772,88543327,7300,shuffled,70,103,7588
Insert and Lookup,773,95787202,7310,shuffled,80,149,8160
Insert and Lookup,774,82343469,7320,shuffled,63,100,6929
Insert and Lookup,775,88574430,7330,shuffled,74,129,7680
Insert and Lookup,776,91765739,7340,shuffled,75,116,7990
Insert and Lookup,777,84617357,7350,shuffled,68,153,7038
Insert and Lookup,778,88872583,7360,shuffled,74,106,7588
Insert and Lookup,779,88774489,7370,shuffled,73,131,7520
Insert and Lookup,780,83134240,7380,shuffled,61,127,6842
Insert and Lookup,781,87568989,7390,shuffled,73,131,7389
Insert and Lookup,782,88948601,7400,shuffled,86,114,7499
Insert and Lookup,783,85971658,7410,shuffled,59,99,7117
Insert and Lookup,784,89500854,7420,shuffled,70,124,7439
Insert and Lookup,785,91902643,7430,shuffled,82,127,7620
Insert and Lookup,786,80978099,7440,shuffled,60,100,6685
Insert and Lookup,787,88690695,7450,shuffled,76,118,7544
Insert and Lookup,788,85637397,7460,shuffled,66,96,6937
Insert and Lookup,789,88656975,7470,shuffled,64,115,7308
Insert and Lookup,790,88125951,7480,shuffled,65,110,7400
Insert and Lookup,791,94510009,7490,shuffled,82,203,7858
Insert and Lookup,792,85518776,7500,shuffled,55,98,6981
Insert and Lookup,793,90757928,7510,shuffled,69,111,7576
Insert and Lookup,794,92147294,7520,shuffled,92,135,7691
Insert and Lookup,795,83821984,7530,shuffled,54,113,6878
Insert and Lookup,796,91133631,7540,shuffled,86,124,7605
Insert and Lookup,797,95430348,7550,shuffled,88,116,7809
Insert and Lookup,798,85366866,7560,shuffled,65,120,6822
Insert and Lookup,799,92481520,7570,shuffled,65,98,7762
Insert and Lookup,800,94732241,7580,shuffled,75,185,7778
Insert and Lookup,801,83372845,7590,shuffled,55,120,6724
Insert and Lookup,802,92180923,7600,shuffled,70,146,7599
Insert and Lookup,803,95997683,7610,shuffled,89,134,7872
Insert and Lookup,804,89679668,7620,shuffled,60,107,7341
Insert and Lookup,805,97076412,7630,shuffled,80,130,7900
Insert and Lookup,806,91815414,7640,shuffled,66,162,7522
Insert and Lookup,807,84935468,7650,shuffled,61,88,6833
Insert and Lookup,808,101084563,7660,shuffled,71,124,8689
Insert and Lookup,809,96627041,7670,shuffled,70,128,8091
Insert and Lookup,810,87320094,7680,shuffled,59,139,7111
Insert and Lookup,811,99598595,7690,shuffled,69,132,8174
Insert and Lookup,812,92818013,7700,shuffled,60,134,7575
Insert and Lookup,813,91590108,7710,shuffled,71,115,7447
Insert and Lookup,814,98481972,7720,shuffled,76,156,8181
Insert and Lookup,815,93427751,7730,shuffled,72,102,7636
Insert and Lookup,816,98377810,7740,shuffled,77,129,8037
Insert and Lookup,817,97528048,7750,shuffled,68,178,7923
Insert and Lookup,818,93236282,7760,shuffled,64,94,7511
Insert and Lookup,819,93242948,7770,shuffled,65,163,7360
Insert and Lookup,820,96564460,7780,shuffled,71,107,7836
Insert and Lookup,821,99923877,7790,shuffled,93,87,8098
Insert and Lookup,822,93364161,7800,shuffled,65,106,7320
Insert and Lookup,823,98275778,7810,shuffled,76,157,8000
Insert and Lookup,824,99674986,7820,shuffled,78,110,8051
Insert and Lookup,825,87589710,7830,shuffled,60,90,6897
Insert and Lookup,826,100876328,7840,shuffled,66,207,8184
Insert and Lookup,827,99120609,7850,shuffled,72,101,7967
Insert and Lookup,828,87570180,7860,shuffled,53,95,6881
Insert and Lookup,829,102197130,7870,shuffled,89,119,8246
Insert and Lookup,830,97444567,7880,shuffled,81,134,7675
Insert and Lookup,831,94960693,7890,shuffled,57,96,7669
Insert and Lookup,832,100986063,7900,shuffled,65,181,7952
Insert and Lookup,833,97068276,7910,shuffled,73,108,7709
Insert and Lookup,834,90215476,7920,shuffled,59,92,7048
Insert and Lookup,835,101458810,7930,shuffled,69,170,7883
Insert and Lookup,836,96231664,7940,shuffled,62,147,7616
Insert and Lookup,837,96049255,7950,shuffled,67,98,7677
Insert and Lookup,838,107166958,7960,shuffled,86,149,8457
Insert and Lookup,839,100088738,7970,shuffled,64,156,7936
Insert and Lookup,840,93158098,7980,shuffled,56,92,7302
Insert and Lookup,841,102171868,7990,shuffled,78,156,8047
Insert and Lookup,842,106093887,8000,shuffled,79,144,8563
Insert and Lookup,843,93439850,8010,shuffled,59,100,7308
Insert and Lookup,844,104676491,8020,shuffled,65,181,8204
Insert and Lookup,845,103381123,8030,shuffled,73,156,8154
Insert and Lookup,846,100104099,8040,shuffled,65,148,7729
Insert and Lookup,847,106346915,8050,shuffled,65,168,8211
Insert and Lookup,848,99448183,8060,shuffled,59,117,7695
Insert and Lookup,849,104953118,8070,shuffled,77,153,8031
Insert and Lookup,850,101951848,8080,shuffled,72,139,7898
Insert and Lookup,851,103696116,8090,shuffled,68,186,7839
Insert and Lookup,852,107215657,8100,shuffled,67,118,8508
Insert and Lookup,853,106340647,8110,shuffled,60,169,7966
Insert and Lookup,854,99032492,8120,shuffled,61,107,7616
Insert and Lookup,855,111287274,8130,shuffled,75,188,8619
Insert and Lookup,856,104490648,8140,shuffled,75,113,8102
Insert and Lookup,857,110238978,8150,shuffled,89,163,8594
Insert and Lookup,858,102021186,8160,shuffled,60,170,7865
Insert and Lookup,859,106147505,8170,shuffled,70,166,8175
Insert and Lookup,860,106814073,8180,shuffled,70,173,8237
Insert and Lookup,861,108085229,8190,shuffled,73,105,8251
Insert and Lookup,862,108266468,8200,shuffled,71,143,8322
Insert and Lookup,863,116429201,8210,shuffled,94,160,9116
Insert and Lookup,864,112612162,8220,shuffled,73,124,8771
Insert and Lookup,865,110572661,8230,shuffled,82,159,8525
Insert and Lookup,866,107181886,8240,shuffled,74,132,8219
Insert and Lookup,867,110821965,8250,shuffled,95,108,8592
Insert and Lookup,868,114550509,8260,shuffled,94,132,8895
Insert and Lookup,869,111293533,8270,shuffled,85,143,8344
Insert and Lookup,870,107225236,8280,shuffled,78,128,8089
Insert and Lookup,871,109680236,8290,shuffled,71,165,8396
Insert and Lookup,872,107416829,8300,shuffled,66,119,8232
Insert and Lookup,873,112939745,8310,shuffled,66,164,8673
Insert and Lookup,874,113432349,8320,shuffled,67,113,8881
Insert and Lookup,875,109601813,8330,shuffled,68,108,8347
Insert and Lookup,876,111041156,8340,shuffled,85,131,8494
Insert and Lookup,877,112438137,8350,shuffled,74,159,8526
Insert and Lookup,878,113513090,8360,shuffled,85,130,8629
Insert and Lookup,879,111485991,8370,shuffled,67,141,8496
Insert and Lookup,880,109747972,8380,shuffled,64,106,8268
Insert and Lookup,881,112175667,8390,shuffled,72,145,8454
Insert and Lookup,882,110652141,8400,shuffled,69,126,8399
Insert and Lookup,883,121144309,8410,shuffled,91,184,9219
Insert and Lookup,884,119220513,8420,shuffled,88,105,9068
Insert and Lookup,885,115300493,8430,shuffled,77,112,8799
Insert and Lookup,886,111347425,8440,shuffled,63,111,8353
Insert and Lookup,887,118545980,8450,shuffled,83,148,9075
Insert and Lookup,888,113043490,8460,shuffled,74,126,8592
Insert and Lookup,889,119469593,8470,shuffled,83,113,9130
Insert and Lookup,890,117935705,8480,shuffled,86,139,8993
Insert and Lookup,891,119259641,8490,shuffled,89,155,8894
Insert and Lookup,892,114684084,8500,shuffled,85,114,8676
Insert and Lookup,893,112753193,8510,shuffled,70,129,8364
Insert and Lookup,894,121592639,8520,shuffled,93,168,9152
Insert and Lookup,895,116334882,8530,shuffled,73,127,8791
Insert and Lookup,896,117009097,8540,shuffled,72,111,8825
Insert and Lookup,897,118396981,8550,shuffled,79,141,8854
Insert and Lookup,898,120061769,8560,shuffled,89,122,9003
Insert and Lookup,899,121823095,8570,shuffled,92,108,9036
Insert and Lookup,900,111624592,8580,shuffled,69,158,8291
Insert and Lookup,901,120705330,8590,shuffled,69,115,9184
Insert and Lookup,902,126576764,8600,shuffled,89,193,9562
Insert and Lookup,903,119591286,8610,shuffled,71,127,8945
Insert and Lookup,904,111709655,8620,shuffled,77,107,8227
Insert and Lookup,905,118831724,8630,shuffled,74,120,8853
Insert and Lookup,906,122310471,8640,shuffled,80,119,9246
Insert and Lookup,907,123595844,8650,shuffled,84,133,9231
Insert and Lookup,908,112221318,8660,shuffled,65,134,8229
Insert and Lookup,909,124751024,8670,shuffled,92,152,9337
Insert and Lookup,910,116934936,8680,shuffled,74,121,8737
Insert and Lookup,911,123011645,8690,shuffled,86,148,9063
Insert and Lookup,912,115225689,8700,shuffled,62,106,8478
Insert and Lookup,913,123508814,8710,shuffled,82,105,9107
Insert and Lookup,914,128012034,8720,shuffled,92,184,9509
Insert and Lookup,915,123182160,8730,shuffled,88,132,9084
Insert and Lookup,916,115232512,8740,shuffled,59,132,8473
Insert and Lookup,917,121693487,8750,shuffled,81,128,8925
Insert and Lookup,918,120494311,8760,shuffled,79,107,8794
Insert and Lookup,919,122865018,8770,shuffled,92,146,8989
Insert and Lookup,920,121313251,8780,shuffled,79,159,8798
Insert and Lookup,921,130796927,8790,shuffled,120,113,9587
Insert and Lookup,922,126281101,8800,shuffled,71,112,9316
Insert and Lookup,923,122788222,8810,shuffled,74,114,9001
Insert and Lookup,924,125540431,8820,shuffled,77,161,9191
Insert and Lookup,925,125611802,8830,shuffled,79,94,9314
Insert and Lookup,926,126100312,8840,shuffled,89,136,9292
Insert and Lookup,927,130166483,8850,shuffled,95,110,9588
Insert and Lookup,928,137499935,8860,shuffled,101,159,10009
Insert and Lookup,929,125407544,8870,shuffled,82,199,9127
Insert and Lookup,930,133640367,8880,shuffled,89,161,9751
Insert and Lookup,931,127088528,8890,shuffled,92,128,9236
Insert and Lookup,932,128632544,8900,shuffled,86,128,9441
Insert and Lookup,933,132982946,8910,shuffled,88,204,9658
Insert and Lookup,934,128808768,8920,shuffled,83,164,9339
Insert and Lookup,935,124108437,8930,shuffled,85,130,8943
Insert and Lookup,936,129070642,8940,shuffled,94,160,9340
Insert and Lookup,937,127131768,8950,shuffled,77,137,9176
Insert and Lookup,938,130384068,8960,shuffled,98,185,9484
Insert and Lookup,939,128736854,8970,shuffled,71,122,9322
Insert and Lookup,940,123591446,8980,shuffled,75,88,8958
Insert and Lookup,941,129998003,8990,shuffled,74,132,9388
Insert and Lookup,942,138391938,9000,shuffled,99,130,10065
Insert and Lookup,943,125917760,9010,shuffled,69,117,9105
