#medium-kruskal.csv
#Veronika
#Zapodobnikova
#
group,number,duration,relevantVertices,numberOfRelevantVertices,selectedEdges
Medium - Dense - Kruskal,85,839351,10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|37|38|39|40|41|42|43|44|45,27,18-10|37-22|43-14|21-10|25-21|37-10|39-21|40-39|41-14|42-22|21-19|27-15|27-24|38-22|45-23|17-11|18-13|20-10|22-12|37-14|41-23|18-11|20-15|26-24|44-23|16-12|0-0
Medium - Dense - Kruskal,86,947211,10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|37|38|39|40|41|42|43|44|45|46|47|48|49|50,32,18-10|37-22|43-14|46-12|49-12|49-39|21-10|25-21|37-10|39-21|40-39|41-14|42-22|46-26|48-20|49-16|50-14|21-19|27-15|27-24|38-22|45-23|47-23|48-12|48-13|17-11|37-14|41-23|18-11|20-15|44-23|0-0
Medium - Dense - Kruskal,87,2201713,10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36,27,18-10|30-15|33-10|35-26|35-27|35-32|21-10|25-21|29-26|31-11|31-20|31-21|34-31|34-32|21-19|27-15|27-24|30-14|34-13|17-11|22-12|33-28|34-22|23-19|36-21|16-12|0-0
Medium - Dense - Kruskal,88,1714562,10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|46|47|48|49|50,32,18-10|30-15|33-10|35-26|35-27|35-32|46-12|49-12|21-10|25-21|29-26|31-11|31-20|31-21|34-31|34-32|46-26|48-20|49-16|50-14|21-19|27-15|27-24|30-14|34-13|47-23|17-11|22-12|33-28|47-36|23-19|0-0
Medium - Dense - Kruskal,89,1396822,10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45,36,18-10|30-15|33-10|35-26|35-27|35-32|37-22|39-30|42-29|43-14|21-10|25-21|29-26|31-11|31-20|31-21|34-31|34-32|37-10|38-30|39-21|40-39|41-14|21-19|27-24|30-14|34-13|38-28|45-23|45-30|17-11|22-12|39-36|44-23|16-12|0-0
Medium - Dense - Kruskal,90,939786,10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50,41,18-10|30-15|33-10|35-26|35-27|35-32|37-22|39-30|42-29|43-14|46-12|49-12|49-39|21-10|25-21|29-26|31-11|31-20|31-21|34-31|34-32|37-10|38-30|39-21|40-39|41-14|48-20|49-16|50-14|21-19|27-24|30-14|34-13|38-28|45-23|45-30|47-23|17-11|39-36|44-23|0-0
Medium - Dense - Kruskal,91,2336701,1|2|3|4|5|6|7|8|9,9,7-2|8-1|8-5|9-2|4-2|5-2|7-3|7-6|0-0
Medium - Dense - Kruskal,92,1607434,1|2|3|4|5|6|7|8|9|46|47|48|49|50,14,47-9|7-2|8-1|8-5|46-7|9-2|46-1|49-46|50-4|4-2|7-3|48-1|46-6|0-0
Medium - Dense - Kruskal,93,999926,1|2|3|4|5|6|7|8|9|37|38|39|40|41|42|43|44|45,18,45-6|7-2|8-1|8-5|40-39|9-2|37-1|38-7|40-3|41-2|40-2|40-37|42-4|43-9|45-7|4-2|44-3|0-0
Medium - Dense - Kruskal,94,800925,1|2|3|4|5|6|7|8|9|37|38|39|40|41|42|43|44|45|46|47|48|49|50,23,45-6|47-9|49-39|7-2|8-1|8-5|40-39|46-7|9-2|37-1|38-7|40-3|41-2|49-37|40-2|42-4|48-37|43-9|45-7|50-4|4-2|44-3|0-0
Medium - Dense - Kruskal,95,1234602,1|2|3|4|5|6|7|8|9|28|29|30|31|32|33|34|35|36,18,30-3|35-32|7-2|8-1|8-5|34-31|34-32|9-2|30-8|33-29|32-1|33-28|34-7|35-6|31-28|36-2|4-2|0-0
Medium - Dense - Kruskal,96,1673447,1|2|3|4|5|6|7|8|9|28|29|30|31|32|33|34|35|36|46|47|48|49|50,23,30-3|35-32|47-9|7-2|8-1|8-5|34-31|34-32|46-7|46-33|9-2|30-8|33-29|32-1|33-28|34-7|35-6|47-36|49-46|48-33|50-4|4-2|0-0
Medium - Dense - Kruskal,97,984075,1|2|3|4|5|6|7|8|9|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45,27,30-3|35-32|39-30|42-29|45-6|7-2|8-1|8-5|34-31|34-32|38-30|40-39|9-2|30-8|33-29|37-1|38-7|38-28|40-29|41-2|42-34|45-30|39-36|42-4|43-9|44-3|0-0
Medium - Dense - Kruskal,98,1133630,1|2|3|4|5|6|7|8|9|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50,32,30-3|35-32|39-30|42-29|45-6|47-9|49-39|7-2|8-1|8-5|34-31|34-32|38-30|40-39|46-7|46-33|9-2|30-8|33-29|37-1|38-7|38-28|41-2|42-34|45-30|39-36|42-4|48-37|43-9|50-4|44-3|0-0
Medium - Dense - Kruskal,99,2477343,1|2|3|4|5|6|7|8|9|19|20|21|22|23|24|25|26|27,18,7-2|8-1|8-5|19-3|22-2|22-6|25-21|9-2|20-7|21-19|25-1|26-3|27-24|24-4|23-19|26-24|25-2|0-0
Medium - Dense - Kruskal,100,1540666,1|2|3|4|5|6|7|8|9|19|20|21|22|23|24|25|26|27|46|47|48|49|50,23,47-9|7-2|8-1|8-5|19-3|22-2|22-6|25-21|46-7|46-26|48-20|9-2|20-7|21-19|25-1|26-3|27-24|47-23|24-4|26-24|50-27|49-46|0-0
Medium - Dense - Kruskal,101,1162983,1|2|3|4|5|6|7|8|9|19|20|21|22|23|24|25|26|27|37|38|39|40|41|42|43|44|45,27,37-22|45-6|7-2|8-1|8-5|19-3|22-2|22-6|25-21|39-21|40-39|42-22|9-2|20-7|21-19|25-1|26-3|27-24|37-1|38-7|41-2|45-23|24-4|42-4|43-9|44-23|0-0
Medium - Dense - Kruskal,102,1289585,1|2|3|4|5|6|7|8|9|19|20|21|22|23|24|25|26|27|37|38|39|40|41|42|43|44|45|46|47|48|49|50,32,37-22|45-6|47-9|49-39|7-2|8-1|8-5|19-3|22-2|22-6|25-21|39-21|40-39|42-22|46-7|46-26|48-20|9-2|20-7|21-19|25-1|26-3|27-24|38-7|41-2|45-23|24-4|42-4|43-9|44-23|50-27|0-0
Medium - Dense - Kruskal,103,1861047,1|2|3|4|5|6|7|8|9|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36,27,30-3|35-26|35-27|35-32|7-2|8-1|8-5|19-3|22-2|22-6|25-21|29-26|31-20|31-21|34-31|34-32|9-2|20-7|21-19|25-1|27-24|33-29|24-4|33-28|23-19|36-2|0-0
Medium - Dense - Kruskal,104,1305320,1|2|3|4|5|6|7|8|9|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|46|47|48|49|50,32,30-3|35-26|35-27|35-32|47-9|7-2|8-1|8-5|19-3|22-2|22-6|25-21|29-26|31-20|31-21|34-31|34-32|46-7|46-26|46-33|48-20|9-2|21-19|25-1|27-24|47-23|24-4|33-28|47-36|50-27|49-46|0-0
Medium - Dense - Kruskal,105,1247943,1|2|3|4|5|6|7|8|9|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45,36,30-3|35-26|35-27|35-32|37-22|39-30|42-29|45-6|7-2|8-1|8-5|19-3|22-2|22-6|25-21|29-26|31-20|31-21|34-31|34-32|38-30|39-21|40-39|42-22|9-2|25-1|27-24|33-29|38-28|41-2|45-23|24-4|39-36|43-9|44-23|0-0
Medium - Dense - Kruskal,106,848940,1|2|3|4|5|6|7|8|9|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50,41,30-3|35-26|35-27|35-32|37-22|39-30|42-29|45-6|47-9|49-39|7-2|8-1|8-5|19-3|22-2|22-6|25-21|29-26|31-20|31-21|34-31|34-32|38-30|39-21|40-39|42-22|46-7|46-33|48-20|9-2|25-1|27-24|38-28|41-2|45-23|24-4|39-36|43-9|44-23|50-27|0-0
Medium - Dense - Kruskal,107,1183337,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18,18,15-7|18-6|18-10|7-2|8-1|8-5|9-2|13-2|16-3|11-1|15-3|17-11|18-13|15-4|17-3|12-4|14-9|0-0
Medium - Dense - Kruskal,108,1371884,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|46|47|48|49|50,23,15-7|18-6|18-10|46-12|47-9|49-12|7-2|8-1|8-5|46-7|49-16|50-14|9-2|13-2|16-3|48-12|11-1|17-11|18-13|15-4|17-3|50-4|0-0
Medium - Dense - Kruskal,109,890024,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|37|38|39|40|41|42|43|44|45,27,15-7|18-6|18-10|43-14|45-6|7-2|8-1|8-5|37-10|40-39|41-14|9-2|13-2|16-3|37-1|38-7|40-3|41-2|11-1|15-3|17-11|18-13|42-4|15-4|38-12|44-17|0-0
Medium - Dense - Kruskal,110,1066590,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|37|38|39|40|41|42|43|44|45|46|47|48|49|50,32,15-7|18-6|18-10|43-14|45-6|46-12|47-9|49-12|49-39|7-2|8-1|8-5|37-10|40-39|41-14|46-7|49-16|50-14|9-2|13-2|16-3|37-1|38-7|41-2|48-12|49-37|11-1|17-11|42-4|15-4|44-17|0-0
Medium - Dense - Kruskal,111,719532,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|28|29|30|31|32|33|34|35|36,27,15-7|18-6|18-10|30-3|30-15|33-10|35-32|7-2|8-1|8-5|31-11|33-11|34-31|34-32|9-2|13-2|16-3|30-8|30-14|31-14|33-29|17-11|33-28|15-4|36-2|12-4|0-0
Medium - Dense - Kruskal,112,732196,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|28|29|30|31|32|33|34|35|36|46|47|48|49|50,32,15-7|18-6|18-10|30-3|30-15|33-10|35-32|46-12|47-9|49-12|7-2|8-1|8-5|31-11|33-11|34-31|34-32|46-7|46-33|49-16|50-14|9-2|13-2|30-8|30-14|33-29|48-12|17-11|33-28|47-36|15-4|0-0
Medium - Dense - Kruskal,113,642706,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45,36,15-7|18-6|18-10|30-3|30-15|33-10|35-32|39-30|42-29|43-14|45-6|7-2|8-1|8-5|31-11|33-11|34-31|34-32|37-10|38-30|40-39|41-14|9-2|13-2|16-3|30-8|30-14|31-14|33-29|38-28|17-11|39-36|42-4|38-12|44-17|0-0
Medium - Dense - Kruskal,114,709209,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50,41,15-7|18-6|18-10|30-3|30-15|33-10|35-32|39-30|42-29|43-14|45-6|46-12|47-9|49-12|49-39|7-2|8-1|8-5|31-11|33-11|34-31|34-32|37-10|38-30|40-39|41-14|46-33|49-16|50-14|9-2|13-2|30-8|30-14|33-29|38-28|48-12|17-11|39-36|42-4|44-17|0-0
Medium - Dense - Kruskal,115,1105769,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27,27,15-7|18-6|18-10|7-2|8-1|8-5|19-3|21-10|22-2|22-6|25-21|9-2|13-2|16-3|20-7|21-19|25-1|26-3|27-15|27-24|11-1|17-11|22-12|24-4|23-19|19-14|0-0
Medium - Dense - Kruskal,116,1076310,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|46|47|48|49|50,32,15-7|18-6|18-10|46-12|47-9|49-12|7-2|8-1|8-5|19-3|21-10|22-2|22-6|25-21|46-7|46-26|48-20|49-16|50-14|9-2|13-2|16-3|20-7|25-1|27-15|27-24|47-23|11-1|17-11|24-4|50-27|0-0
Medium - Dense - Kruskal,117,772903,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|37|38|39|40|41|42|43|44|45,36,15-7|18-6|18-10|37-22|43-14|45-6|7-2|8-1|8-5|19-3|21-10|22-2|22-6|25-21|39-21|40-39|41-14|42-22|9-2|13-2|16-3|20-7|21-19|25-1|26-3|27-15|27-24|38-7|41-2|45-23|11-1|17-11|22-12|24-4|44-23|0-0
Medium - Dense - Kruskal,118,810516,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|37|38|39|40|41|42|43|44|45|46|47|48|49|50,41,15-7|18-6|18-10|37-22|43-14|45-6|46-12|47-9|49-12|49-39|7-2|8-1|8-5|19-3|21-10|22-2|22-6|25-21|39-21|40-39|41-14|42-22|46-26|48-20|49-16|50-14|9-2|13-2|16-3|20-7|25-1|27-15|27-24|38-7|41-2|45-23|11-1|17-11|24-4|44-23|0-0
Medium - Dense - Kruskal,119,780334,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36,36,15-7|18-6|18-10|30-3|30-15|33-10|35-26|35-27|35-32|7-2|8-1|8-5|19-3|21-10|22-2|22-6|25-21|29-26|31-11|31-20|31-21|34-31|34-32|9-2|13-2|16-3|25-1|27-24|30-14|17-11|22-12|24-4|33-28|23-19|36-2|0-0
Medium - Dense - Kruskal,120,642780,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|46|47|48|49|50,41,15-7|18-6|18-10|30-3|30-15|33-10|35-26|35-27|35-32|46-12|47-9|49-12|7-2|8-1|8-5|19-3|21-10|22-2|22-6|25-21|29-26|31-11|31-20|31-21|34-31|34-32|46-7|48-20|49-16|50-14|9-2|13-2|25-1|27-24|30-14|47-23|17-11|24-4|33-28|47-36|0-0
Medium - Dense - Kruskal,121,621029,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45,45,15-7|18-6|18-10|30-3|30-15|33-10|35-26|35-27|35-32|37-22|39-30|42-29|43-14|45-6|7-2|8-1|8-5|19-3|21-10|22-2|22-6|25-21|29-26|31-11|31-20|31-21|34-31|34-32|38-30|40-39|41-14|9-2|13-2|16-3|25-1|27-24|30-14|38-28|45-23|17-11|22-12|24-4|39-36|44-23|0-0
Medium - Dense - Kruskal,122,625895,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50,50,15-7|18-6|18-10|30-3|30-15|33-10|35-26|35-27|35-32|37-22|39-30|42-29|43-14|45-6|46-12|47-9|49-12|49-39|7-2|8-1|8-5|19-3|21-10|22-2|22-6|25-21|29-26|31-11|31-20|31-21|34-31|34-32|38-30|40-39|41-14|48-20|49-16|50-14|9-2|13-2|25-1|27-24|30-14|38-28|45-23|17-11|24-4|39-36|44-23|0-0
